carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
1557 Keppel Road,1557 Keppel Road Singapore 089066,089066,07:00 AM - 05:59 PM: First 2 hours $5.45; Subsequent 30 mins $1.26,06:00 PM - 07:00 AM: $2.67 per entry,07:00 AM - 05:59 PM: First hour $2.57; Subsequent 30 mins $1.26,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $2.67 per entry,,,,,,
183 Longhaus,183 Upper Thompson Road Singapore 574429,574429,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,
171 Kallang Way,"171 Kallang Way, S(349250",349250,08:00 AM - 10:00 PM: $0.50 per 30 mins,08:00 AM - 10:00 PM: $0.90 per hour,10:00 PM - 08:00 AM: No parking,,,,,,08:00 AM - 10:00 PM: $0.50 per 30 mins,08:00 AM - 10:00 PM: $0.90 per hour,10:00 PM - 08:00 AM: No parking,,,,08:00 AM - 10:00 PM: $0.50 per 30 mins,08:00 AM - 10:00 PM: $0.90 per hour,10:00 PM - 08:00 AM: No parking,,,,
26 Tai Seng Street,26 Tai Seng Street Singapore 534057,534057,07:00 AM - 10:30 PM: $0.75 per 30 mins,10:30 PM - 07:00 AM: No parking,,,,,,,07:00 AM - 10:30 PM: $0.75 per 30 mins,10:30 PM - 07:00 AM: No parking,,,,,07:00 AM - 10:30 PM: $0.75 per 30 mins,10:30 PM - 07:00 AM: No parking,,,,,
Bishan Sports Centre,7 Bishan Street 14 Singapore 579784,579784,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.60,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $0.60; Capped at $5.00,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $1.20,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $1.20; Capped at $10.00,07:00 AM - 10:30 PM: 10 mins grace period; $0.65 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $0.65 per entry,,,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.60,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $0.60; Capped at $5.00,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $1.20,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $1.20; Capped at $10.00,07:00 AM - 10:30 PM: 10 mins grace period; $0.65 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $0.65 per entry,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.60,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $0.60; Capped at $5.00,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $1.20,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $1.20; Capped at $10.00,07:00 AM - 10:30 PM: 10 mins grace period; $0.65 per entry,10:30 PM - 07:00 AM: 10 mins grace period; $0.65 per entry,
20 Collyer Quay,20 Collyer Quay Singapore 049319,049319,06:00 AM - 05:00 PM: $2.80 per 30 mins,05:00 PM - 11:00 PM: $3.20 per entry,11:00 PM - 06:00 AM: No parking,,,,,,06:00 AM - 05:00 PM: $2.80 per 30 mins,05:00 PM - 11:00 PM: $3.20 per entry,11:00 PM - 06:00 AM: No parking,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Burghley Lifestyle Hub,45 Burghley Drive Singapore 559022,559022,07:00 AM - 07:00 PM: $0.02 per min,07:00 PM - 07:00 AM: $0.02 per min; Capped at $2.14,,,,,,,07:00 AM - 07:00 PM: $0.02 per min,07:00 PM - 07:00 AM: $0.02 per min; Capped at $2.14,,,,,07:00 AM - 07:00 PM: $0.02 per min,07:00 PM - 07:00 AM: $0.02 per min; Capped at $2.14,,,,,
Causeway Point,1 Woodlands Square Singapore 738099,738099,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.80,12:00 AM - 12:00 AM: 30 mins grace period; $1.50 per entry,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.80,12:00 AM - 12:00 AM: 30 mins grace period; $1.50 per entry,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.50; Subsequent 30 mins $0.80,12:00 AM - 12:00 AM: 30 mins grace period; $1.50 per entry,,,,,
211 Henderson,211 Henderson Road Singapore 159552,159552,06:00 AM - 05:59 PM: $1.50 per hour,06:00 PM - 05:59 AM: $3.00 per entry,,,,,,,06:00 AM - 05:59 PM: $1.50 per hour,06:00 PM - 05:59 AM: $3.00 per entry,,,,,06:00 AM - 05:59 AM: $3.00 per entry,,,,,,
City Square Mall,"180 Kitchener Road, Singapore 208539",208539,06:00 AM - 06:00 PM: 10 mins grace period; First hour $2.18; Subsequent 30 mins $1.09,06:00 PM - 06:00 AM: 10 mins grace period; $3.27 per entry,12:00 AM - 12:00 AM: 20 mins grace period; $2.18 per entry,,,,,,06:00 AM - 06:00 PM: 10 mins grace period; First hour $2.18; Subsequent 30 mins $1.09,06:00 PM - 06:00 AM: 10 mins grace period; $3.82 per entry,12:00 AM - 12:00 AM: 20 mins grace period; $2.18 per entry,,,,06:00 AM - 06:00 PM: 10 mins grace period; First hour $2.18; Subsequent 30 mins $1.09,06:00 PM - 06:00 AM: 10 mins grace period; $3.82 per entry,12:00 AM - 12:00 AM: 20 mins grace period; $2.18 per entry,,,,
