carpark,address,postal_code,weekdays_rate,weekdays_rate_2,weekdays_rate_3,weekdays_rate_4,weekdays_rate_5,weekdays_rate_6,weekdays_rate_7,weekdays_rate_8,saturday_rate,saturday_rate_2,saturday_rate_3,saturday_rate_4,saturday_rate_5,saturday_rate_6,sunday_publicholiday_rate,sunday_publicholiday_rate_2,sunday_publicholiday_rate_3,sunday_publicholiday_rate_4,sunday_publicholiday_rate_5,sunday_publicholiday_rate_6,sunday_publicholiday_rate_7
Henderson Industrial Park Blk 201,"201 Henderson Road, S(159545",159545,08:00 AM - 04:59 PM: $1.40 per hour,05:00 PM - 07:59 AM: $1.70 per entry,,,,,,,08:00 AM - 04:59 PM: $1.40 per hour,05:00 PM - 07:59 AM: $1.70 per entry,,,,,08:00 AM - 04:59 PM: $1.40 per hour,05:00 PM - 07:59 AM: $1.70 per entry,,,,,
Pasir Ris Central Hawker Center (Hipster Hawker Center),110 Pasir Ris Central Singapore 519641,519641,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.60,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $0.60; Capped at $5.00,,,,,,,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.60,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $0.60; Capped at $5.00,,,,,07:00 AM - 10:30 PM: 10 mins grace period; Per 30 mins $0.60,10:30 PM - 07:00 AM: 10 mins grace period; Per 30 mins $0.60; Capped at $5.00,,,,,
"Pasir Ris Park (Car Park A, C, D and F)",12 Tai Seng Link #06-02 Singapore 534233,534233,12:00 AM - 12:00 AM: $0.50 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $0.50 per 30 mins,,,,,,12:00 AM - 12:00 AM: $0.50 per 30 mins,,,,,,
Paya Lebar Quarter (PLQ 1),"1 Paya Lebar Link, S(408533",408533,06:00 AM - 06:00 PM: 10 mins grace period; Per hour $2.30,06:00 PM - 06:00 AM: 10 mins grace period; Per hour $1.93,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,
Paya Lebar Square,60 Paya Lebar Road Singapore 409051,409051,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.60; Subsequent 30 mins $0.85,06:00 PM - 06:00 AM: 10 mins grace period; $2.30 per entry,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour free; Subsequent 30 mins $0.55,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour free; Subsequent 30 mins $0.55,,,,,,
Precise Tree,55 Kim Chuan Drive Singapore 537098,537098,07:00 AM - 06:00 PM: 10 mins grace period; Per 30 mins $1.00,06:00 PM - 07:00 AM: 10 mins grace period; $3.00 per entry,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $3.00 per entry,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $3.00 per entry,,,,,,
Henderson Industrial Park Blk 203,"203 Henderson Road, S(159546",159546,08:00 AM - 04:59 PM: 5 mins grace period; Per hour $1.40,05:00 PM - 07:59 AM: 5 mins grace period; $1.70 per entry,,,,,,,08:00 AM - 04:59 PM: 5 mins grace period; Per hour $1.40,05:00 PM - 07:59 AM: 5 mins grace period; $1.70 per entry,,,,,08:00 AM - 08:00 AM: 5 mins grace period; $3.50 per entry,,,,,,
Hillion Mall,"17 Petir Road, S(678278",678278,11:01 AM - 05:59 PM: 10 mins grace period; First hour $1.38; Subsequent 15 mins $0.46,06:00 PM - 11:00 PM: 10 mins grace period; $2.77 per entry,,,,,,,11:01 AM - 05:59 PM: 10 mins grace period; First 2 hours $2.77; Subsequent 15 mins $0.46,06:00 PM - 11:00 PM: 10 mins grace period; $2.77 per entry,,,,,11:01 AM - 05:59 PM: 10 mins grace period; First 2 hours $2.77; Subsequent 15 mins $0.46,06:00 PM - 11:00 PM: 10 mins grace period; $2.77 per entry,,,,,
Hokkien KongHuay,"794 Upper Bukit Timah Road, S(678133",678133,06:00 AM - 07:00 PM: First 30 mins $0.53; Subsequent 15 mins $0.53,07:00 PM - 12:00 AM: First 30 mins $0.53; Subsequent 15 mins $0.53,12:00 AM - 06:00 AM: $2.14 per 30 mins,,,,,,06:00 AM - 07:00 PM: First 30 mins $0.53; Subsequent 15 mins $0.53,07:00 PM - 12:00 AM: First 30 mins $0.53; Subsequent 15 mins $0.53,12:00 AM - 06:00 AM: $2.14 per 30 mins,,,,06:00 AM - 07:00 PM: First 30 mins $0.53; Subsequent 15 mins $0.53,07:00 PM - 12:00 AM: First 30 mins $0.53; Subsequent 15 mins $0.53,12:00 AM - 06:00 AM: $2.14 per 30 mins,,,,
Holland Road Shopping Centre,"211 Holland Avenue, S(278967",278967,12:00 AM - 08:59 AM: $2.40 per 30 mins,09:00 AM - 11:59 PM: $5.00 per entry,,,,,,,12:00 AM - 08:59 AM: $2.40 per 30 mins,09:00 AM - 11:59 PM: $2.40 per 30 mins,,,,,12:00 AM - 08:59 AM: $2.40 per 30 mins,09:00 AM - 11:59 PM: $2.40 per 30 mins,,,,,
Claymore Connect,442 Orchard Road Singapore 238879,238879,07:00 AM - 06:00 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.50 per entry,,,,,,,07:00 AM - 06:00 PM: First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 07:00 AM: $5.50 per entry,,,,,07:00 AM - 07:00 AM: $5.50 per entry,,,,,,
Claymore Plaza,6 Claymore Hill Singapore 229571,229571,09:00 AM - 07:00 PM: $1.50 per 30 mins,07:00 PM - 09:00 AM: No parking,,,,,,,09:00 AM - 07:00 PM: $1.50 per 30 mins,07:00 PM - 09:00 AM: No parking,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Premier @ Kaki Bukit,8 Kaki Bukit Avenue 4 Singapore 415875,415875,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,12:00 AM - 12:00 AM: $0.60 per 30 mins,,,,,,
Prosper House,101 Lorong 23 Geylang Singapore 388399,388399,07:00 AM - 07:00 PM: $1.20 per hour,07:00 PM - 10:30 PM: $2.50 per entry,10:30 PM - 12:00 AM: $4.00 per entry,,,,,,07:00 AM - 10:30 PM: $2.50 per entry,10:30 PM - 07:00 AM: $4.00 per entry,,,,,07:00 AM - 10:30 PM: $2.50 per entry,10:30 PM - 07:00 AM: $4.00 per entry,,,,,
HomeTeamNS Bukit Batok,12 Tai Seng Link #06-02 Singapore 534233,534233,06:01 AM - 05:00 PM: $1.70 per hour,05:01 PM - 03:00 AM: $4.16 per entry,03:01 AM - 06:00 AM: $3.90 per entry,,,,,,06:01 AM - 05:00 PM: $1.70 per hour,05:01 PM - 03:00 AM: $4.16 per entry,03:01 AM - 06:00 AM: $3.90 per entry,,,,06:01 AM - 03:00 AM: $4.16 per entry,03:01 AM - 06:00 AM: $3.90 per entry,,,,,
Hong Leong Garden Shopping Centre,"228 West Coast Way, Hong Leong Garden Shopping Centre, S(127111",127111,08:00 AM - 05:00 PM: 10 mins grace period; Per hour $1.21,05:00 PM - 08:00 AM: 10 mins grace period; $1.72 per entry,,,,,,,08:00 AM - 05:00 PM: 10 mins grace period; Per hour $1.21,05:00 PM - 08:00 AM: 10 mins grace period; $1.72 per entry,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $1.72 per entry,,,,,,
IKEA Alexandra,"317 Alexandra Road, S(159965",159965,08:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 08:00 AM: $1.50 per 30 mins,,,,,,,08:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 08:00 AM: $1.50 per 30 mins,,,,,08:00 AM - 05:00 PM: $1.50 per 30 mins,05:00 PM - 08:00 AM: $1.50 per 30 mins,,,,,
IMM Building,"2 Jurong East Street 21, S(609601",609601,12:00 AM - 05:00 PM: 10 mins grace period; First hour $1.20; Subsequent 15 mins $0.40,05:00 PM - 12:00 AM: 10 mins grace period; First hour $1.20; Subsequent 15 mins $0.40,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.20; Subsequent 15 mins $0.40,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.20; Subsequent 15 mins $0.40,,,,,,
Inno Centre,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 10:00 PM: $0.60 per 30 mins,10:01 PM - 06:59 AM: $2.00 per entry,,,,,,,07:00 AM - 10:00 PM: $0.60 per 30 mins,10:01 PM - 06:59 AM: $2.00 per entry,,,,,12:00 AM - 11:59 PM: $2.00 per entry,,,,,,
Japanese Garden,"1 Chinese Garden Road, S(619795",619795,06:00 AM - 07:00 PM: Free parking,,,,,,,,06:00 AM - 07:00 PM: Free parking,,,,,,06:00 AM - 07:00 PM: Free parking,,,,,,
Punggol Plaza,168 Punggol Field Singapore 820168,820168,07:00 AM - 10:30 PM: 15 mins grace period; First 10 mins free; Subsequent 30 mins $0.60,07:00 AM - 10:30 PM: 15 mins grace period; First 30 mins $0.60; Subsequent 0 mins free; Capped at $5.00,,,,,,,07:00 AM - 10:30 PM: 15 mins grace period; First 10 mins free; Subsequent 30 mins $0.60,07:00 AM - 10:30 PM: 15 mins grace period; First 30 mins $0.60; Subsequent 0 mins free; Capped at $5.00,,,,,07:00 AM - 10:30 PM: 15 mins grace period; First 10 mins free; Subsequent 30 mins $0.60,07:00 AM - 10:30 PM: 15 mins grace period; First 30 mins $0.60; Subsequent 0 mins free; Capped at $5.00,,,,,
JCube,12 Tai Seng Link #06-02 Singapore 534233,534233,03:30 AM - 05:59 PM: 10 mins grace period; First hour $1.30; Subsequent 15 mins $0.40,06:00 PM - 03:29 AM: 10 mins grace period; $2.50 per entry,,,,,,,03:30 AM - 05:59 PM: 10 mins grace period; First hour $1.30; Subsequent 15 mins $0.40,06:00 PM - 03:29 AM: 10 mins grace period; $2.50 per entry,,,,,03:30 AM - 05:59 PM: 10 mins grace period; First hour $1.30; Subsequent 15 mins $0.40,06:00 PM - 03:29 AM: 10 mins grace period; $2.50 per entry,,,,,
Ren Ci Long Term Care,10 Buangkok View Singapore 539747,539747,07:00 AM - 06:00 PM: $2.40 per 30 mins,06:00 PM - 09:00 PM: $2.40 per entry,09:00 PM - 07:00 AM: $0.04 per min,07:00 AM - 01:00 PM: $0.04 per min,01:00 PM - 09:00 PM: $2.40 per entry,,,,Same as weekdays,,,,,,07:00 AM - 09:00 PM: $2.10 per entry,09:00 PM - 07:00 AM: $0.04 per min,,,,,
Jelita Cold Storage,"293 Holland Road, S(278628",278628,12:00 AM - 12:00 AM: First hour $2.00; Subsequent 30 mins $1.00,,,,,,,,12:00 AM - 12:00 AM: First hour $2.00; Subsequent 30 mins $1.00,,,,,,12:00 AM - 12:00 AM: First hour $2.00; Subsequent 30 mins $1.00,,,,,,
Clemenceau Avenue Off Street,83 Clemenceau Avenue Singapore 239920,239920,07:00 AM - 05:00 PM: $1.20 per 30 mins,05:00 PM - 07:00 AM: $0.60 per 30 mins,,,,,,,07:00 AM - 05:00 PM: $1.20 per 30 mins,05:00 PM - 07:00 AM: $0.60 per 30 mins,,,,,07:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,
Comcentre / SingTel Building,31 Exeter Road Singapore 239732,239732,07:00 AM - 06:00 PM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,06:00 PM - 11:00 PM: $3.00 per entry,11:00 PM - 07:00 AM: $15.00 per entry,07:00 AM - 01:00 PM: 10 mins grace period; First hour $3.00; Subsequent 30 mins $1.50,01:00 PM - 11:00 PM: 10 mins grace period; First 2 hours $3.00; Subsequent 30 mins $1.00,,,,Same as weekdays,,,,,,07:00 AM - 11:00 PM: 10 mins grace period; First 2 hours $3.00; Subsequent 30 mins $1.00,11:00 PM - 07:00 AM: $15.00 per entry,,,,,
Concorde Hotel Singapore,100 Orchard Road Singapore 238840,238840,07:00 AM - 06:00 PM: First hour $2.14; Subsequent 30 mins $1.39,06:00 PM - 07:00 AM: $3.75 per entry,,,,,,,Same as weekdays,,,,,,07:00 AM - 07:00 AM: $3.75 per entry,,,,,,
Concorde Shopping Centre,317 Outram Road Singapore 169075,169075,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $2.00,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $2.00,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $2.00,,,,,,
Rivervale Mall,11 Rivervale Crescent Singapore 545082,545082,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,,,,,,
Roxy Square,50 East Coast Road Singapore 428769,428769,07:00 AM - 06:00 PM: First 30 mins $0.60; Subsequent 30 mins $0.70,06:00 PM - 12:00 AM: $2.50 per entry,12:00 AM - 07:00 AM: First 30 mins $0.70; Subsequent 30 mins $0.70,,,,,,07:00 AM - 06:00 PM: First 30 mins $0.60; Subsequent 30 mins $0.70,06:00 PM - 12:00 AM: $2.50 per entry,12:00 AM - 07:00 AM: First 30 mins $0.70; Subsequent 30 mins $0.70,,,,07:00 AM - 06:00 PM: First 30 mins $0.60; Subsequent 30 mins $0.70,06:00 PM - 12:00 AM: $2.50 per entry,12:00 AM - 07:00 AM: First 30 mins $0.70; Subsequent 30 mins $0.70,,,,
SAFRA Tampines,1 Tampines Street 92 Singapore 528882,528882,06:00 AM - 06:00 PM: First hour $2.10; Subsequent 15 mins $0.53; $4.05 per entry,06:00 PM - 10:30 PM: $4.05 per entry,10:30 PM - 06:00 AM: No parking,,,,,,06:00 AM - 06:00 PM: First hour $2.10; Subsequent 15 mins $0.53; $4.05 per entry,06:00 PM - 10:30 PM: $4.05 per entry,10:30 PM - 06:00 AM: No parking,,,,06:00 AM - 10:30 PM: $4.05 per entry; Per 15 mins $0.53,10:30 PM - 06:00 AM: No parking,,,,,
SAKAE Building,28 Tai Seng Street Singapore 534106,534106,07:00 AM - 05:30 PM: $3.00 per hour,05:31 PM - 03:00 AM: $3.00 per entry,03:01 AM - 06:59 AM: $10.00 per entry,,,,,,07:00 AM - 05:30 PM: $3.00 per hour,05:31 PM - 03:00 AM: $3.00 per entry,03:01 AM - 06:59 AM: $10.00 per entry,,,,07:00 AM - 06:59 AM: $3.00 per entry,,,,,,
Sea Sports Centre,11 Changi Coast Walk Singapore 499740,499740,08:00 AM - 06:00 PM: 10 mins grace period; First hour $1.20; Subsequent hour $1.80,06:00 PM - 08:00 AM: Free parking,08:00 AM - 06:00 PM: 10 mins grace period; First hour $1.20; Subsequent hour $2.40,,,,,,Same as weekdays,,,,,,08:00 AM - 06:00 PM: 10 mins grace period; First hour $1.20; Subsequent hour $2.40,06:00 PM - 08:00 AM: Free parking,,,,,
Shun Li Industrial Park,61 Kaki Bukit Avenue 1 Singapore 417943,417943,07:00 AM - 11:00 PM: First hour $1.20; Subsequent 30 mins $0.60,11:00 PM - 07:00 AM: $3.00 per entry,,,,,,,07:00 AM - 11:00 PM: First hour $1.20; Subsequent 30 mins $0.60,11:00 PM - 07:00 AM: $3.00 per entry,,,,,07:00 AM - 11:00 PM: First hour $1.20; Subsequent 30 mins $0.60,11:00 PM - 07:00 AM: $3.00 per entry,,,,,
Siglap Centre,55 Siglap Road Singapore 455871,455871,12:00 AM - 12:00 AM: 10 mins grace period; Per 30 mins $0.82,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per 30 mins $0.82,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per 30 mins $0.82,,,,,,
Siglap V,2 First Sreet Singapore 458278,458278,07:00 AM - 10:00 PM: $0.80 per 30 mins,10:00 PM - 07:00 AM: $3.00 per entry,,,,,,,07:00 AM - 10:00 PM: $0.80 per 30 mins,10:00 PM - 07:00 AM: $3.00 per entry,,,,,07:00 AM - 10:00 PM: $0.80 per 30 mins,10:00 PM - 07:00 AM: $3.00 per entry,,,,,
JEM,"50 Jurong Gateway Road, S(608549",608549,06:00 AM - 05:59 PM: First hour $2.16; Subsequent 15 mins $0.54,06:00 PM - 05:59 AM: $3.24 per entry,06:00 AM - 05:59 PM: First hour $2.70; Subsequent 15 mins $0.65,,,,,,Same as weekdays,,,,,,06:00 AM - 05:59 PM: First hour $2.70; Subsequent 15 mins $0.65,06:00 PM - 05:59 AM: $3.24 per entry,,,,,
JTC BioMed One @ Tuas Biomedical Park,"128 Tuas South Avenue 3, S(637550",637550,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: Free parking,,,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: Free parking,,,,,07:00 AM - 07:00 AM: Free parking,,,,,,
JTC Blk 8 Chia Ping Road,"8 Chia Ping Road, S(619973",619973,07:30 AM - 05:30 PM: $0.50 per 30 mins,05:30 PM - 07:30 AM: $0.50 per 30 mins,,,,,,,07:30 AM - 05:30 PM: $0.50 per 30 mins,05:30 PM - 07:30 AM: $0.50 per 30 mins,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
JTC CleanTech Two @ CleanTech Park,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 05:00 PM: 15 mins grace period; Per 30 mins $0.60,05:00 PM - 07:00 AM: Free parking,,,,,,,07:00 AM - 05:00 PM: 15 mins grace period; Per 30 mins $0.60,05:00 PM - 07:00 AM: Free parking,,,,,07:00 AM - 07:00 AM: Free parking,,,,,,
JTC MedTech Hub @ MedTech Park,12 Tai Seng Link #06-02 Singapore 534233,534233,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: Free parking,,,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: Free parking,,,,,07:00 AM - 07:00 AM: Free parking,,,,,,
JTC Tuas Amenity Centre,"71 Pioneer Road, S(639591",639591,07:00 AM - 10:30 PM: 15 mins grace period; Per 30 mins $0.50,,,,,,,,07:00 AM - 10:30 PM: 15 mins grace period; Per 30 mins $0.50,,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
Singapore Expo,1 Expo Drive Singapore 486150,486150,12:00 AM - 12:00 AM: First 2 hours $1.80; Subsequent 30 mins $1.50,,,,,,,,12:00 AM - 12:00 AM: First 2 hours $1.80; Subsequent 30 mins $1.50,,,,,,12:00 AM - 12:00 AM: First 2 hours $1.80; Subsequent 30 mins $1.50,,,,,,
Singapore Funeral Parlour,91 Tampines Link Singapore 528746,528746,12:00 AM - 12:00 AM: $2.50 per hour,,,,,,,,12:00 AM - 12:00 AM: $2.50 per hour,,,,,,12:00 AM - 12:00 AM: $2.50 per hour,,,,,,
Singapore Sports Hub,2 Stadium Walk Singapore 397691,397691,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.02,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.02,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per min $0.02,,,,,,
Singapore Swimming Club,45 Tanjong Rhu Road Singapore 436899,436899,06:00 AM - 06:00 PM: First hour $1.50; Subsequent min $0.02,06:00 AM - 06:00 PM: First hour $2.03; Subsequent min $0.03,,,,,,,06:00 AM - 06:00 PM: First hour $1.50; Subsequent min $0.02,06:00 AM - 06:00 PM: First hour $2.03; Subsequent min $0.03,,,,,06:00 AM - 06:00 PM: First hour $1.50; Subsequent min $0.02,06:00 AM - 06:00 PM: First hour $2.03; Subsequent min $0.03,,,,,
Singapore University of Technology and Design (SUTD),8 Somapah Road Singapore 487372,487372,12:00 AM - 12:00 PM: First min $0.02; Subsequent min $0.02,12:00 PM - 02:00 PM: Free parking,02:00 PM - 12:00 AM: $0.02 per min,,,,,,12:00 AM - 12:00 PM: First min $0.02; Subsequent min $0.02,12:00 PM - 02:00 PM: Free parking,02:00 PM - 12:00 AM: $0.02 per min,,,,12:00 AM - 12:00 PM: First min $0.02; Subsequent min $0.02,12:00 PM - 02:00 PM: Free parking,02:00 PM - 12:00 AM: $0.02 per min,,,,
Singapore-Johore Factory,51 Kampong Bugis Singapore 338986,338986,08:00 AM - 05:00 PM: 10 mins grace period; First hour $1.30; $1.60 per entry,05:00 PM - 08:00 AM: Free parking,,,,,,,08:00 AM - 05:00 PM: 10 mins grace period; First hour $1.30; $1.60 per entry,05:00 PM - 08:00 AM: Free parking,,,,,12:00 AM - 12:00 AM: No parking,,,,,,
SingPost Centre,10 Eunos Road 8 Singapore 408600,408600,06:00 AM - 06:00 PM: 10 mins grace period; First hour $1.61; Subsequent 30 mins $0.86,06:00 PM - 06:00 AM: 10 mins grace period; $2.68 per entry,06:00 AM - 01:00 PM: 10 mins grace period; First hour $1.61; Subsequent 30 mins $0.68,01:00 PM - 06:00 AM: 10 mins grace period; $2.68 per entry,,,,,Same as weekdays,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; $2.68 per entry,,,,,,
Space Kovan,11 Yio Chu Kang Road Singapore 545523,545523,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.50,,,,,,
Junction 10,"1 Woodlands Road, S(677899",677899,08:00 AM - 05:00 PM: First hour $1.30; Subsequent 15 mins $0.38,05:00 PM - 08:00 AM: First hour $1.30; Subsequent 15 mins $0.38,,,,,,,08:00 AM - 08:00 AM: First 2 hours $2.80; Subsequent 15 mins $0.38,,,,,,08:00 AM - 08:00 AM: First 2 hours $2.80; Subsequent 15 mins $0.38,,,,,,
Space Tampines,18 Tampines Industrial Crescent Singapore 528822,528822,08:00 AM - 06:00 PM: 10 mins grace period; First hour $1.28; Subsequent 30 mins $0.64,06:00 PM - 08:00 AM: 10 mins grace period; $2.50 per entry,,,,,,,08:00 AM - 10:00 PM: 10 mins grace period; First 2 hours free; Subsequent 30 mins $0.64,10:00 PM - 08:00 AM: 10 mins grace period; $2.50 per entry,,,,,08:00 AM - 10:00 PM: 10 mins grace period; First 2 hours free; Subsequent 30 mins $0.64,10:00 PM - 08:00 AM: 10 mins grace period; $2.50 per entry,,,,,
Sports Hub@Punggol,6 Tebing Lane Singapore 828835,828835,07:00 AM - 06:00 PM: $0.60 per 30 mins,06:00 PM - 12:00 AM: $0.90 per 30 mins,12:00 AM - 07:00 AM: $0.60 per 30 mins,,,,,,07:00 AM - 06:00 PM: $0.60 per 30 mins,06:00 PM - 12:00 AM: $0.90 per 30 mins,12:00 AM - 07:00 AM: $0.60 per 30 mins,,,,07:00 AM - 06:00 PM: $0.60 per 30 mins,06:00 PM - 12:00 AM: $0.90 per 30 mins,12:00 AM - 07:00 AM: $0.60 per 30 mins,,,,
St. Andrew's Community Hospital,8 Simei Street 3 Singapore 529895,529895,12:00 AM - 12:00 AM: First hour $1.20; Subsequent 30 mins $0.70,,,,,,,,12:00 AM - 12:00 AM: First hour $1.20; Subsequent 30 mins $0.70,,,,,,12:00 AM - 12:00 AM: First hour $1.20; Subsequent 30 mins $0.70,,,,,,
Standard Chartered @ Changi,9 Changi Business Park Crescent Singapore 486041,486041,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $4.00,,,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $4.00,,,,,07:00 AM - 07:00 PM: 15 mins grace period; Per 30 mins $0.60,07:00 PM - 07:00 AM: 15 mins grace period; Per 30 mins $0.60; Capped at $4.00,,,,,
Stars of Kovan,988 Upper Serangoon Road Singapore 534733,534733,07:00 AM - 10:30 PM: $1.00 per hour,10:30 PM - 07:00 AM: $2.00 per hour,,,,,,,07:00 AM - 10:30 PM: $1.00 per hour,10:30 PM - 07:00 AM: $2.00 per hour,,,,,07:00 AM - 10:30 PM: $1.00 per hour,10:30 PM - 07:00 AM: $2.00 per hour,,,,,
Tai Seng Centre,3 Irving Road Singapore 369522,369522,12:00 AM - 12:00 AM: $1.20 per hour,,,,,,,,12:00 AM - 12:00 AM: $1.20 per hour,,,,,,12:00 AM - 12:00 AM: $1.20 per hour,,,,,,
Tai Seng Point,11 Irving Place Singapore 369551,369551,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,,,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,,,,,,12:00 AM - 12:00 AM: 10 mins grace period; Per hour $1.20,,,,,,
Tampines 1,10 Tampines Central 1 Singapore 529536,529536,06:00 AM - 06:00 PM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.95,06:00 PM - 10:30 PM: 10 mins grace period; $2.70 per entry,10:30 PM - 06:00 AM: No parking,,,,,,06:00 AM - 06:00 PM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.95,06:00 PM - 10:30 PM: 10 mins grace period; $2.70 per entry,10:30 PM - 06:00 AM: No parking,,,,06:00 AM - 06:00 PM: 10 mins grace period; First hour $1.40; Subsequent 30 mins $0.95,06:00 PM - 10:30 PM: 10 mins grace period; $2.70 per entry,10:30 PM - 06:00 AM: No parking,,,,
Tampines Concourse,11 Tampines Concourse Singapore 528729,528729,07:00 AM - 06:00 PM: First hour $2.14; Subsequent 30 mins $1.07,06:00 PM - 07:00 AM: $2.67 per entry,,,,,,,07:00 AM - 06:00 PM: First hour $2.14; Subsequent 30 mins $1.07,06:00 PM - 07:00 AM: $2.67 per entry,,,,,07:00 AM - 06:00 PM: First hour $2.14; Subsequent 30 mins $1.07,06:00 PM - 07:00 AM: $2.67 per entry,,,,,
Tampines Mall,4 Tampines Central 5 Singapore 529510,529510,12:00 AM - 06:00 PM: 10 mins grace period; First hour $1.35; Subsequent 15 mins $0.45,06:00 PM - 12:00 AM: 10 mins grace period; $2.65 per entry,,,,,,,03:00 AM - 06:00 PM: 10 mins grace period; First 2 hours $2.65; Subsequent 15 mins $0.45,06:00 PM - 12:00 AM: 10 mins grace period; $2.65 per entry,12:00 AM - 03:00 AM: 10 mins grace period; Per 15 mins $0.45,,,,03:00 AM - 06:00 PM: 10 mins grace period; First 2 hours $2.65; Subsequent 15 mins $0.45,06:00 PM - 12:00 AM: 10 mins grace period; $2.65 per entry,12:00 AM - 03:00 AM: 10 mins grace period; Per 15 mins $0.45,,,,
Tampines Mart,11 Tampines Street 32 Singapore 529287,529287,12:00 AM - 12:00 AM: 30 mins grace period; Per 30 mins $0.70,,,,,,,,12:00 AM - 12:00 AM: 30 mins grace period; Per 30 mins $0.70,,,,,,12:00 AM - 12:00 AM: 30 mins grace period; Per 30 mins $0.70,,,,,,
Tampines Plaza 1,3 Tampines Central 1 Singapore 529540,529540,01:00 AM - 08:00 AM: 10 mins grace period; First 2 hours $2.10; Subsequent 30 mins $1.05,08:00 AM - 05:00 PM: 10 mins grace period; Per 30 mins $1.05,05:00 PM - 01:00 AM: 10 mins grace period; $2.60 per entry,,,,,,01:00 AM - 08:00 AM: 10 mins grace period; First 2 hours $2.10; Subsequent 30 mins $1.05,08:00 AM - 05:00 PM: 10 mins grace period; Per 30 mins $1.05,05:00 PM - 01:00 AM: 10 mins grace period; $2.60 per entry,,,,01:00 AM - 08:00 AM: 10 mins grace period; First 2 hours $2.10; Subsequent 30 mins $1.05,08:00 AM - 01:00 AM: 10 mins grace period; $2.60 per entry,,,,,
